Date,Open,High,Low,Close
"Sep 17, 2014",465.86,468.17,452.42,457.33
"Sep 18, 2014",456.86,456.86,413.1,424.44
"Sep 19, 2014",424.1,427.83,384.53,394.8
"Sep 20, 2014",394.67,423.3,389.88,408.9
"Sep 21, 2014",408.08,412.43,393.18,398.82
"Sep 22, 2014",399.1,406.92,397.13,402.15
"Sep 23, 2014",402.09,441.56,396.2,435.79
"Sep 24, 2014",435.75,436.11,421.13,423.2
"Sep 25, 2014",423.16,423.52,409.47,411.57
"Sep 26, 2014",411.43,414.94,400.01,404.42
"Sep 27, 2014",403.56,406.62,397.37,399.52
"Sep 28, 2014",399.47,401.02,374.33,377.18
"Sep 29, 2014",376.93,385.21,372.24,375.47
"Sep 30, 2014",376.09,390.98,373.44,386.94
"Oct 01, 2014",387.43,391.38,380.78,383.61
"Oct 02, 2014",383.99,385.5,372.95,375.07
"Oct 03, 2014",375.18,377.7,357.86,359.51
"Oct 04, 2014",359.89,364.49,325.89,328.87
"Oct 05, 2014",328.92,341.8,289.3,320.51
"Oct 06, 2014",320.39,345.13,302.56,330.08
"Oct 07, 2014",330.58,339.25,320.48,336.19
"Oct 08, 2014",336.12,354.36,327.19,352.94
"Oct 09, 2014",352.75,382.73,347.69,365.03
"Oct 10, 2014",364.69,375.07,352.96,361.56
"Oct 11, 2014",361.36,367.19,355.95,362.3
"Oct 12, 2014",362.61,379.43,356.14,378.55
"Oct 13, 2014",377.92,397.23,368.9,390.41
"Oct 14, 2014",391.69,411.7,391.32,400.87
"Oct 15, 2014",400.95,402.23,388.77,394.77
"Oct 16, 2014",394.52,398.81,373.07,382.56
"Oct 17, 2014",382.76,385.48,375.39,383.76
"Oct 18, 2014",383.98,395.16,378.97,391.44
"Oct 19, 2014",391.25,393.94,386.46,389.55
"Oct 20, 2014",389.23,390.08,378.25,382.85
"Oct 21, 2014",382.42,392.65,380.83,386.48
"Oct 22, 2014",386.12,388.58,382.25,383.16
"Oct 23, 2014",382.96,385.05,356.45,358.42
"Oct 24, 2014",358.59,364.35,353.3,358.35
"Oct 25, 2014",358.61,359.86,342.88,347.27
"Oct 26, 2014",347.49,359.22,343.93,354.7
"Oct 27, 2014",354.78,358.63,349.81,352.99
"Oct 28, 2014",353.21,359.98,352.68,357.62
"Oct 29, 2014",357.09,357.83,335.34,335.59
"Oct 30, 2014",335.71,350.91,335.07,345.3
"Oct 31, 2014",345.01,348.05,337.14,338.32
"Nov 01, 2014",338.65,340.53,321.05,325.75
"Nov 02, 2014",326.08,329.05,320.63,325.89
"Nov 03, 2014",325.57,334.0,325.48,327.55
"Nov 04, 2014",327.16,331.77,325.08,330.49
"Nov 05, 2014",330.68,343.37,330.68,339.49
"Nov 06, 2014",339.46,352.97,338.42,349.29
"Nov 07, 2014",349.82,352.73,341.78,342.42
"Nov 08, 2014",342.15,347.03,342.15,345.49
"Nov 09, 2014",345.38,363.63,344.26,363.26
"Nov 10, 2014",362.27,374.82,357.56,366.92
"Nov 11, 2014",365.86,371.31,363.73,367.7
"Nov 12, 2014",367.98,429.72,367.98,423.56
"Nov 13, 2014",427.27,457.09,401.12,420.73
"Nov 14, 2014",418.42,419.25,384.79,397.82
"Nov 15, 2014",399.65,405.53,371.01,376.13
"Nov 16, 2014",374.73,390.8,374.6,387.88
"Nov 17, 2014",388.35,410.2,377.5,387.41
"Nov 18, 2014",387.79,392.4,371.12,375.2
"Nov 19, 2014",373.9,386.48,373.9,380.55
"Nov 20, 2014",380.31,382.02,356.78,357.84
"Nov 21, 2014",357.88,357.88,344.11,350.85
"Nov 22, 2014",351.6,364.84,350.88,352.92
"Nov 23, 2014",353.17,370.85,353.17,367.57
"Nov 24, 2014",366.95,387.21,366.67,376.9
"Nov 25, 2014",376.89,394.7,374.78,375.35
"Nov 26, 2014",376.02,377.7,365.82,368.37
"Nov 27, 2014",370.5,373.99,368.28,369.67
"Nov 28, 2014",369.37,382.84,358.45,376.45
"Nov 29, 2014",376.15,387.6,372.14,375.49
"Nov 30, 2014",375.51,382.53,373.31,378.05
"Dec 01, 2014",378.25,383.66,376.67,379.24
"Dec 02, 2014",379.25,384.04,377.86,381.32
"Dec 03, 2014",381.72,383.03,374.35,375.01
"Dec 04, 2014",375.72,378.65,367.76,369.6
"Dec 05, 2014",369.44,379.19,365.76,376.85
"Dec 06, 2014",376.76,378.45,370.95,374.79
"Dec 07, 2014",374.84,376.29,373.27,375.1
"Dec 08, 2014",374.96,376.03,361.89,361.91
"Dec 09, 2014",361.89,363.07,344.95,352.22
"Dec 10, 2014",352.2,352.38,346.36,346.36
"Dec 11, 2014",344.34,361.36,338.76,350.51
"Dec 12, 2014",350.83,352.98,349.29,352.54
"Dec 13, 2014",352.38,352.38,346.59,347.38
"Dec 14, 2014",346.73,353.32,345.42,351.63
"Dec 15, 2014",351.36,351.82,344.93,345.35
"Dec 16, 2014",345.67,345.86,327.06,327.06
"Dec 17, 2014",326.86,333.95,315.15,319.78
"Dec 18, 2014",319.79,323.71,304.23,311.4
"Dec 19, 2014",311.18,318.53,306.77,317.84
"Dec 20, 2014",317.62,330.33,316.04,329.96
"Dec 21, 2014",329.54,329.63,318.9,320.84
"Dec 22, 2014",321.07,334.12,320.42,331.89
"Dec 23, 2014",332.02,336.29,329.6,334.57
"Dec 24, 2014",334.39,334.74,321.36,322.53
"Dec 25, 2014",322.29,322.67,316.96,319.01
"Dec 26, 2014",319.15,331.42,316.63,327.92
"Dec 27, 2014",327.58,328.91,312.63,315.86
"Dec 28, 2014",316.16,320.03,311.08,317.24
"Dec 29, 2014",317.7,320.27,312.31,312.67
"Dec 30, 2014",312.72,314.81,309.37,310.74
"Dec 31, 2014",310.91,320.19,310.21,320.19
"Jan 01, 2015",320.43,320.43,314.0,314.25
"Jan 02, 2015",314.08,315.84,313.57,315.03
"Jan 03, 2015",314.85,315.15,281.08,281.08
"Jan 04, 2015",281.15,287.23,257.61,264.2
"Jan 05, 2015",265.08,278.34,265.08,274.47
"Jan 06, 2015",274.61,287.55,272.7,286.19
"Jan 07, 2015",286.08,298.75,283.08,294.34
"Jan 08, 2015",294.14,294.14,282.17,283.35
"Jan 09, 2015",282.38,291.11,280.53,290.41
"Jan 10, 2015",287.3,288.13,273.97,274.8
"Jan 11, 2015",274.61,279.64,265.04,265.66
"Jan 12, 2015",266.15,272.2,265.2,267.8
"Jan 13, 2015",267.39,268.28,219.91,225.86
"Jan 14, 2015",223.89,223.89,171.51,178.1
"Jan 15, 2015",176.9,229.07,176.9,209.84
"Jan 16, 2015",209.07,221.59,199.77,208.1
"Jan 17, 2015",207.83,211.73,194.88,199.26
"Jan 18, 2015",200.05,218.7,194.51,210.34
"Jan 19, 2015",211.47,216.73,207.32,214.86
"Jan 20, 2015",212.91,215.24,205.15,211.32
"Jan 21, 2015",211.38,227.79,211.21,226.9
"Jan 22, 2015",227.32,237.02,226.43,233.41
"Jan 23, 2015",233.52,234.85,225.2,232.88
"Jan 24, 2015",232.7,248.21,230.02,247.85
"Jan 25, 2015",247.35,255.07,243.89,253.72
"Jan 26, 2015",254.08,309.38,254.08,273.47
"Jan 27, 2015",273.17,275.48,250.65,263.48
"Jan 28, 2015",263.35,266.54,227.05,233.91
"Jan 29, 2015",233.35,238.71,220.71,233.51
"Jan 30, 2015",232.77,242.85,225.84,226.43
"Jan 31, 2015",226.44,233.5,216.31,217.46
"Feb 01, 2015",216.87,231.57,212.01,226.97
"Feb 02, 2015",226.49,242.18,222.66,238.23
"Feb 03, 2015",237.45,245.96,224.48,227.27
"Feb 04, 2015",227.51,230.06,221.11,226.85
"Feb 05, 2015",227.66,239.4,214.73,217.11
"Feb 06, 2015",216.92,230.51,216.23,222.27
"Feb 07, 2015",222.63,230.3,222.61,227.75
"Feb 08, 2015",227.69,229.44,221.08,223.41
"Feb 09, 2015",223.39,223.98,217.02,220.11
"Feb 10, 2015",220.28,221.81,215.33,219.84
"Feb 11, 2015",219.73,223.41,218.07,219.18
"Feb 12, 2015",219.21,222.2,217.61,221.76
"Feb 13, 2015",221.97,240.26,221.26,235.43
"Feb 14, 2015",235.53,259.81,235.53,257.32
"Feb 15, 2015",257.51,265.61,227.68,234.82
"Feb 16, 2015",234.82,239.52,229.02,233.84
"Feb 17, 2015",233.42,245.77,232.31,243.61
"Feb 18, 2015",243.78,244.25,232.34,236.33
"Feb 19, 2015",236.41,242.67,235.59,240.28
"Feb 20, 2015",240.25,247.1,239.3,243.78
"Feb 21, 2015",243.75,255.32,243.18,244.53
"Feb 22, 2015",244.54,246.39,233.85,235.98
"Feb 23, 2015",235.99,240.11,232.42,238.89
"Feb 24, 2015",239.0,239.9,236.4,238.74
"Feb 25, 2015",238.89,239.34,235.53,237.47
"Feb 26, 2015",237.34,237.71,234.26,236.43
"Feb 27, 2015",236.44,256.65,236.44,253.83
"Feb 28, 2015",253.52,254.69,249.48,254.26
"Mar 01, 2015",254.28,261.66,245.93,260.2
"Mar 02, 2015",260.36,276.3,258.31,275.67
"Mar 03, 2015",275.05,285.8,268.16,281.7
"Mar 04, 2015",281.99,284.23,268.13,273.09
"Mar 05, 2015",272.74,281.67,264.77,276.18
"Mar 06, 2015",275.6,277.61,270.02,272.72
